,lipid,fc,p,PND1,PND2
0,SM(16:0)+H,0.9975609995253559,0.5072030385923225,30,60
1,SM(18:0)+H,0.9920232574633792,0.09213556006568731,30,60
2,SM(20:1)+H,1.001833920469746,0.7388404609112604,30,60
3,SM(24:0)+H,0.9548474789497611,0.5420260149290643,30,60
4,CER(18:1)+H,0.9979315618946766,0.6393668143867246,30,60
5,CER(20:0)+H,0.9875473192004002,0.022796358371686084,30,60
6,CER(24:0)+H,0.9930964397029495,0.4011424024449578,30,60
7,DCER(18:0)+H,0.9916026798902434,0.07855901795769288,30,60
8,HCER(18:0)+H,0.9936613312930048,0.24660064463867234,30,60
9,HCER(18:1)+H,0.9956020578511782,0.2895855280918526,30,60
10,HCER(20:1)+H,0.9930771175557399,0.18055858513113981,30,60
11,HCER(22:1)+H,0.9870111105475176,0.005331830692131356,30,60
12,TAG(50:2_FA16:1)+NH4,0.9493027504019489,0.3133607024132795,30,60
13,TAG(50:3_FA16:1)+NH4,0.9086335041891587,0.1100293918586034,30,60
14,TAG(52:4_FA20:4)+NH4,1.0158790362235675,0.5963446409307748,30,60
15,TAG(54:4_FA20:4)+NH4,0.984353796781866,0.7085714648740697,30,60
16,TAG(54:7_FA20:4)+NH4,0.9981104720927972,0.9747382374971886,30,60
17,TAG(56:6_FA20:4)+NH4,0.9804729621229993,0.7410266514508336,30,60
18,TAG(56:7_FA16:0)+NH4,0.8666570901918579,0.01420652776796655,30,60
19,TAG(56:7_FA20:4)+NH4,0.9113495142887541,0.1638436676856674,30,60
20,MAG(16:1)+NH4,1.001194790114023,0.889005375364966,30,60
21,LPC(18:2)+AcO,1.0001272658766585,0.9931963682308027,30,60
22,LPC(22:5)+AcO,0.9987003659183085,0.8289829118216844,30,60
23,LPI(16:0)-H,0.9996718090815557,0.9711235433282297,30,60
24,LPI(18:0)-H,1.005703923163352,0.46210304814948044,30,60
25,LPI(18:1)-H,0.9946368078681475,0.5694010785709805,30,60
26,LPI(20:1)-H,1.0784071390908183,0.13434847482185963,30,60
27,LPI(20:4)-H,0.9929090960328126,0.5087714356770552,30,60
28,PI(14:0_18:1)-H,0.984889361727312,0.003657240067646247,30,60
29,PI(14:0_20:1)-H,0.9929136908906772,0.2135904113821035,30,60
30,PI(16:0_18:2)-H,0.9978568710561616,0.6523688313963703,30,60
31,PI(16:0_20:4)-H,1.0005847221614443,0.856262166581826,30,60
32,PI(18:1_16:1)-H,0.9996873973711374,0.9324180029419448,30,60
33,PI(18:1_20:4)-H,0.9974556421526483,0.45844041474977615,30,60
34,PI(18:1_22:6)-H,0.9988349204413864,0.8162926859695321,30,60
35,PI(18:2_16:1)-H,1.004427430424444,0.42119232784856964,30,60
36,PI(18:2_20:4)-H,0.9947295081646776,0.2937686126019389,30,60
37,PI(18:2_22:6)-H,0.9869819614939245,0.05854802317380204,30,60
38,PS(16:0_22:6)-H,1.0023753123022154,0.7379728783330504,30,60
39,PS(18:0_18:2)-H,1.0026864040843135,0.5565319029529583,30,60
40,PS(18:0_20:3)-H,0.9971050098250072,0.5368840161484707,30,60
41,PS(18:0_22:4)-H,0.9998281117705206,0.9674019302487511,30,60
42,PS(18:0_22:5)-H,0.9981615812231359,0.7061509095070305,30,60
43,PC(16:0_16:1)+AcO,0.9942085098439603,0.1092454688409674,30,60
44,PC(16:0_18:1)+AcO,0.99241975628012,0.03235417363322165,30,60
45,PC(16:0_22:4)+AcO,0.9873709365073811,0.002905057501419231,30,60
46,PC(18:0_20:4)+AcO,0.9820755293653461,0.010885159617942801,30,60
47,PC(18:2_20:4)+AcO,0.9893676674477025,0.03418517289369076,30,60
48,PE(18:1_18:2)-H,0.9969681344731356,0.4665131865850781,30,60
49,PE(18:1_20:4)-H,0.9929277163857338,0.05048681014554151,30,60
50,PE(18:1_22:6)-H,0.9966958767483688,0.39256984037904885,30,60
51,PE(O-16:0_16:1)-H,0.9678896425376947,0.6266035605447049,30,60
52,PE(O-16:0_20:4)-H,0.9925521237512479,0.08895972401391404,30,60
53,PE(O-16:0_20:5)-H,1.0005700105259105,0.9097945211466151,30,60
54,PE(O-18:0_16:0)-H,0.9947490279449471,0.3932517205698779,30,60
55,PE(P-16:0_16:1)-H,0.9928665378549519,0.18057699151565948,30,60
56,PE(P-16:0_20:2)-H,1.003492990496331,0.5272340632924117,30,60
57,PE(P-18:0_18:2)-H,0.9981326429839514,0.7643880104653403,30,60
58,PE(P-18:1_20:5)-H,1.0003063221945838,0.9645677130378612,30,60
59,PG(18:0_20:3)-H,0.9960354051890391,0.3801762887163367,30,60
60,PG(18:0_22:4)-H,0.9862777989844419,0.02214544300655347,30,60
61,PG(18:1_20:2)-H,1.0065031865395822,0.19123682275272905,30,60
